Dex No,Name,Base Name,Type 1,Type 2,BST,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Poke-Images
718,10% Forme,Zygarde,DRAGON,GROUND,486,54,100,71,61,85,115,
718,50% Forme,Zygarde,DRAGON,GROUND,600,108,100,121,81,95,95,
460,Abomasnow,Abomasnow,GRASS,ICE,494,90,92,75,92,85,60,https://github.com/Ajeet58698/Pokemon-images/blob/main/abomasnow.png?raw=true
63,Abra,Abra,PSYCHIC,-,310,25,20,15,105,55,90,https://github.com/Ajeet58698/Pokemon-images/blob/main/abra.png?raw=true
359,Absol,Absol,DARK,-,465,65,130,60,75,60,75,https://github.com/Ajeet58698/Pokemon-images/blob/main/Abra.png?raw=true
617,Accelgor,Accelgor,BUG,-,495,80,70,40,100,60,145,https://github.com/Ajeet58698/Pokemon-images/blob/main/Absol.png?raw=true
142,Aerodactyl,Aerodactyl,ROCK,FLYING,515,80,105,65,60,75,130,https://github.com/Ajeet58698/Pokemon-images/blob/main/Accelgor.png?raw=true
306,Aggron,Aggron,STEEL,ROCK,530,70,110,180,60,60,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Aerodactyl.png?raw=true
190,Aipom,Aipom,NORMAL,-,360,55,70,55,40,55,85,https://github.com/Ajeet58698/Pokemon-images/blob/main/Aggron.png?raw=true
65,Alakazam,Alakazam,PSYCHIC,-,500,55,50,45,135,95,120,https://github.com/Ajeet58698/Pokemon-images/blob/main/Aipom.png?raw=true
869,Alcremie,Alcremie,FAIRY,-,495,65,60,75,110,121,64,https://github.com/Ajeet58698/Pokemon-images/blob/main/Alakazam.png?raw=true
50,Alolan Diglett,Diglett,GROUND,STEEL,265,10,55,30,35,45,90,https://github.com/Ajeet58698/Pokemon-images/blob/main/Alcremie.png?raw=true
51,Alolan Dugtrio,Dugtrio,GROUND,STEEL,425,35,100,60,50,70,110,https://github.com/Ajeet58698/Pokemon-images/blob/main/Diglett.png?raw=true
103,Alolan Exeggutor,Exeggutor,GRASS,DRAGON,530,95,105,85,125,75,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Dugtrio.png?raw=true
74,Alolan Geodude,Geodude,ROCK,ELECTRIC,300,40,80,100,30,30,20,https://github.com/Ajeet58698/Pokemon-images/blob/main/Exeggutor.png?raw=true
76,Alolan Golem,Golem,ROCK,ELECTRIC,495,80,120,130,55,65,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Geodude.png?raw=true
75,Alolan Graveler,Graveler,ROCK,ELECTRIC,390,55,95,115,45,45,35,https://github.com/Ajeet58698/Pokemon-images/blob/main/Golem.png?raw=true
88,Alolan Grimer,Grimer,POISON,DARK,325,80,80,50,40,50,25,https://github.com/Ajeet58698/Pokemon-images/blob/main/Graveler.png?raw=true
105,Alolan Marowak,Marowak,FIRE,GHOST,425,60,80,110,50,80,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Grimer.png?raw=true
52,Alolan Meowth,Meowth,DARK,-,290,40,35,35,50,40,90,https://github.com/Ajeet58698/Pokemon-images/blob/main/Marowak.png?raw=true
89,Alolan Muk,Muk,POISON,DARK,500,105,105,75,65,100,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Meowth.png?raw=true
38,Alolan Ninetales,Ninetales,ICE,FAIRY,505,73,67,75,81,100,109,https://github.com/Ajeet58698/Pokemon-images/blob/main/Muk.png?raw=true
53,Alolan Persian,Persian,DARK,-,440,65,60,60,75,65,115,https://github.com/Ajeet58698/Pokemon-images/blob/main/Ninetales.png?raw=true
26,Alolan Raichu,Raichu,ELECTRIC,PSYCHIC,485,60,85,50,95,85,110,https://github.com/Ajeet58698/Pokemon-images/blob/main/Persian.png?raw=true
20,Alolan Raticate,Raticate,DARK,NORMAL,413,75,71,70,40,80,77,https://github.com/Ajeet58698/Pokemon-images/blob/main/Raichu.png?raw=true
19,Alolan Rattata,Rattata,DARK,NORMAL,253,30,56,35,25,35,72,https://github.com/Ajeet58698/Pokemon-images/blob/main/Raticate.png?raw=true
27,Alolan Sandshrew,Sandshrew,ICE,STEEL,300,50,75,90,10,35,40,https://github.com/Ajeet58698/Pokemon-images/blob/main/Rattata.png?raw=true
28,Alolan Sandslash,Sandslash,ICE,STEEL,450,75,100,120,25,65,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Sandshrew.png?raw=true
37,Alolan Vulpix,Vulpix,ICE,-,299,38,41,40,50,65,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Sandslash.png?raw=true
594,Alomomola,Alomomola,WATER,-,470,165,75,80,40,45,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Vulpix.png?raw=true
334,Altaria,Altaria,DRAGON,FLYING,490,75,70,90,70,105,80,https://github.com/Ajeet58698/Pokemon-images/blob/main/Alomomola.png?raw=true
487,Altered Forme,Giratina,GHOST,DRAGON,680,150,100,120,100,120,90,https://github.com/Ajeet58698/Pokemon-images/blob/main/Altaria.png?raw=true
698,Amaura,Amaura,ROCK,ICE,362,77,59,50,67,63,46,https://github.com/Ajeet58698/Pokemon-images/blob/main/Giratina.png?raw=true
424,Ambipom,Ambipom,NORMAL,-,482,75,100,66,60,66,115,https://github.com/Ajeet58698/Pokemon-images/blob/main/Amaura.png?raw=true
591,Amoonguss,Amoonguss,GRASS,POISON,464,114,85,70,85,80,30,https://github.com/Ajeet58698/Pokemon-images/blob/main/Ambipom.png?raw=true
849,Amped Form,Toxtricity,ELECTRIC,POISON,502,75,98,70,114,70,75,https://github.com/Ajeet58698/Pokemon-images/blob/main/Amoonguss.png?raw=true
181,Ampharos,Ampharos,ELECTRIC,-,510,90,75,85,115,90,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Toxtricity.png?raw=true
979,Annihilape,Annihilape,FIGHTING,GHOST,535,110,115,80,50,90,90,https://github.com/Ajeet58698/Pokemon-images/blob/main/Ampharos.png?raw=true
347,Anorith,Anorith,ROCK,BUG,355,45,95,50,40,50,75,https://github.com/Ajeet58698/Pokemon-images/blob/main/Annihilape.png?raw=true
842,Appletun,Appletun,GRASS,DRAGON,485,110,85,80,100,80,30,https://github.com/Ajeet58698/Pokemon-images/blob/main/Anorith.png?raw=true
840,Applin,Applin,GRASS,DRAGON,260,40,40,80,40,40,20,https://github.com/Ajeet58698/Pokemon-images/blob/main/Appletun.png?raw=true
128,Aqua Breed,Tauros,FIGHTING,WATER,490,75,110,105,30,70,100,https://github.com/Ajeet58698/Pokemon-images/blob/main/Applin.png?raw=true
752,Araquanid,Araquanid,WATER,BUG,454,68,70,92,50,132,42,https://github.com/Ajeet58698/Pokemon-images/blob/main/Tauros.png?raw=true
24,Arbok,Arbok,POISON,-,448,60,95,69,65,79,80,https://github.com/Ajeet58698/Pokemon-images/blob/main/Araquanid.png?raw=true
930,Arboliva,Arboliva,GRASS,NORMAL,510,78,69,90,125,109,39,https://github.com/Ajeet58698/Pokemon-images/blob/main/Arbok.png?raw=true
59,Arcanine,Arcanine,FIRE,-,555,90,110,80,100,80,95,https://github.com/Ajeet58698/Pokemon-images/blob/main/Arboliva.png?raw=true
493,Arceus,Arceus,NORMAL,-,720,120,120,120,120,120,120,https://github.com/Ajeet58698/Pokemon-images/blob/main/Arcanine.png?raw=true
566,Archen,Archen,ROCK,FLYING,401,55,112,45,74,45,70,https://github.com/Ajeet58698/Pokemon-images/blob/main/Arceus.png?raw=true
567,Archeops,Archeops,ROCK,FLYING,567,75,140,65,112,65,110,https://github.com/Ajeet58698/Pokemon-images/blob/main/Archen.png?raw=true
997,Arctibax,Arctibax,DRAGON,ICE,423,90,95,66,45,65,62,https://github.com/Ajeet58698/Pokemon-images/blob/main/Archeops.png?raw=true
883,Arctovish,Arctovish,WATER,ICE,505,90,90,100,80,90,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Arctibax.png?raw=true
881,Arctozolt,Arctozolt,ELECTRIC,ICE,505,90,100,90,90,80,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Arctovish.png?raw=true
648,Aria Forme,Meloetta,NORMAL,PSYCHIC,600,100,77,77,128,128,90,https://github.com/Ajeet58698/Pokemon-images/blob/main/Arctozolt.png?raw=true
168,Ariados,Ariados,BUG,POISON,400,70,90,70,60,70,40,https://github.com/Ajeet58698/Pokemon-images/blob/main/Meloetta.png?raw=true
348,Armaldo,Armaldo,ROCK,BUG,495,75,125,100,70,80,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Ariados.png?raw=true
936,Armarouge,Armarouge,FIRE,PSYCHIC,525,85,60,100,125,80,75,https://github.com/Ajeet58698/Pokemon-images/blob/main/Armaldo.png?raw=true
683,Aromatisse,Aromatisse,FAIRY,-,462,101,72,72,99,89,29,https://github.com/Ajeet58698/Pokemon-images/blob/main/Armarouge.png?raw=true
304,Aron,Aron,STEEL,ROCK,330,50,70,100,40,40,30,https://github.com/Ajeet58698/Pokemon-images/blob/main/Aromatisse.png?raw=true
846,Arrokuda,Arrokuda,WATER,-,280,41,63,40,40,30,66,https://github.com/Ajeet58698/Pokemon-images/blob/main/Aron.png?raw=true
144,Articuno,Articuno,ICE,FLYING,580,90,85,100,95,125,85,https://github.com/Ajeet58698/Pokemon-images/blob/main/Arrokuda.png?raw=true
658,Ash-Greninja,Greninja,WATER,DARK,640,72,145,67,153,71,132,https://github.com/Ajeet58698/Pokemon-images/blob/main/Articuno.png?raw=true
386,Attack Forme,Deoxys,PSYCHIC,-,600,50,180,20,180,20,150,https://github.com/Ajeet58698/Pokemon-images/blob/main/Greninja.png?raw=true
531,Audino,Audino,NORMAL,-,445,103,60,86,60,86,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Deoxys.png?raw=true
699,Aurorus,Aurorus,ROCK,ICE,521,123,77,72,99,92,58,https://github.com/Ajeet58698/Pokemon-images/blob/main/Audino.png?raw=true
713,Avalugg,Avalugg,ICE,-,514,95,117,184,44,46,28,https://github.com/Ajeet58698/Pokemon-images/blob/main/Aurorus.png?raw=true
710,Average Size,Pumpkaboo,GHOST,GRASS,335,49,66,70,44,55,51,https://github.com/Ajeet58698/Pokemon-images/blob/main/Avalugg.png?raw=true
711,Average Size,Gourgeist,GHOST,GRASS,494,65,90,122,58,75,84,https://github.com/Ajeet58698/Pokemon-images/blob/main/Pumpkaboo.png?raw=true
610,Axew,Axew,DRAGON,-,320,46,87,60,30,40,57,https://github.com/Ajeet58698/Pokemon-images/blob/main/Gourgeist.png?raw=true
482,Azelf,Azelf,PSYCHIC,-,580,75,125,70,125,70,115,https://github.com/Ajeet58698/Pokemon-images/blob/main/Axew.png?raw=true
184,Azumarill,Azumarill,WATER,FAIRY,420,100,50,80,60,80,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Azelf.png?raw=true
298,Azurill,Azurill,NORMAL,FAIRY,190,50,20,40,20,40,20,https://github.com/Ajeet58698/Pokemon-images/blob/main/Azumarill.png?raw=true
371,Bagon,Bagon,DRAGON,-,300,45,75,60,40,30,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Azurill.png?raw=true
741,Baile Style,Oricorio,FIRE,FLYING,476,75,70,70,98,70,93,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bagon.png?raw=true
343,Baltoy,Baltoy,GROUND,PSYCHIC,300,40,40,55,40,70,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Oricorio.png?raw=true
354,Banette,Banette,GHOST,-,455,64,115,65,83,63,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Baltoy.png?raw=true
689,Barbaracle,Barbaracle,ROCK,WATER,500,72,105,115,54,86,68,https://github.com/Ajeet58698/Pokemon-images/blob/main/Banette.png?raw=true
339,Barboach,Barboach,WATER,GROUND,288,50,48,43,46,41,60,https://github.com/Ajeet58698/Pokemon-images/blob/main/Barbaracle.png?raw=true
847,Barraskewda,Barraskewda,WATER,-,490,61,123,60,60,50,136,https://github.com/Ajeet58698/Pokemon-images/blob/main/Barboach.png?raw=true
411,Bastiodon,Bastiodon,ROCK,STEEL,495,60,52,168,47,138,30,https://github.com/Ajeet58698/Pokemon-images/blob/main/Barraskewda.png?raw=true
998,Baxcalibur,Baxcalibur,DRAGON,ICE,600,115,145,92,75,86,87,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bastiodon.png?raw=true
153,Bayleef,Bayleef,GRASS,-,405,60,62,80,63,80,60,https://github.com/Ajeet58698/Pokemon-images/blob/main/Baxcalibur.png?raw=true
614,Beartic,Beartic,ICE,-,505,95,130,80,70,80,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bayleef.png?raw=true
267,Beautifly,Beautifly,BUG,FLYING,395,60,70,50,100,50,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Beartic.png?raw=true
15,Beedrill,Beedrill,BUG,POISON,395,65,90,40,45,80,75,https://github.com/Ajeet58698/Pokemon-images/blob/main/Beautifly.png?raw=true
